level,word,pinyin,english
7-9,鄙视,bǐshì,to despise; to look down on; to scorn
7-9,弊病,bìbìng,malady; evil; malpractice; drawback; disadvantage
7-9,必不可少,bìbùkěshǎo,absolutely necessary; indispensable; essential
7-9,必定,bìdìng,to be bound to; to be sure to
7-9,弊端,bìduān,systemic problem (sometimes refers specifically to corrupt practices)
7-9,必将,bìjiāng,inevitably
7-9,壁垒,bìlěi,rampart; barrier; breastwork
7-9,碧绿,bìlǜ,dark green
7-9,避难,bìnàn,refuge; to take refuge; to seek asylum (political etc)
7-9,避让,bìràng,to avoid
7-9,毕生,bìshēng,all one's life; lifelong
7-9,避暑,bìshǔ,to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke
7-9,鞭策,biāncè,to spur on; to urge on; to encourage sb (e.g. to make progress)
7-9,编程,biānchéng,programming
7-9,编号,biānhào,to number; numbering; serial number
7-9,边疆,biānjiāng,border area; borderland; frontier; frontier region
7-9,边界,biānjiè,border; boundary
7-9,边境,biānjìng,frontier; border
7-9,编排,biānpái,to arrange; to lay out
7-9,鞭炮,biānpào,firecrackers; string of small firecrackers
7-9,边缘,biānyuán,edge; fringe; verge; brink; periphery; marginal; borderline
7-9,边远,biānyuǎn,remote; far from the center
7-9,编造,biānzào,to compile; to draw up; to fabricate; to invent; to concoct; to make up; to cook up
7-9,扁,biǎn,flat; (coll.) to beat (sb) up; old variant of 匾
7-9,贬低,biǎndī,to belittle; to disparage; to play down; to demean; to degrade; to devalue
7-9,贬值,biǎnzhí,to become devaluated; to devaluate; to depreciate
7-9,辩,biàn,to dispute; to debate; to argue; to discuss
7-9,辨别,biànbié,to distinguish; to differentiate; to discern; to recognize; to tell
7-9,遍布,biànbù,to cover the whole (area); to be found throughout
7-9,便饭,biànfàn,an ordinary meal; simple home cooking
7-9,变革,biàngé,to transform; to change
7-9,变更,biàngēng,to change; to alter; to modify
7-9,变故,biàngù,an unforeseen event; accident; misfortune
7-9,变换,biànhuàn,to transform; to convert; to vary; to alternate; a transformation
7-9,辩解,biànjiě,to explain away; to justify; to vindicate
7-9,辩论,biànlùn,debate; argument; to argue over
7-9,变迁,biànqiān,changes; vicissitudes
7-9,辨认,biànrèn,to recognize; to identify
